University Library (OV),Redwood Hall (RE),University Student Union (USU),Campus Store Complex (CSC),Jacaranda Hall (JD),Sierra Hall (SH),Parking Lot B1 (PL:B1),Parking Lot and Structure B3 (PLPS:B3),Parking Lot B4 (PL:B4),Parking Lot and Structure B5 (PLPS:B5),Parking Lot B6 (PL:B6),Parking Lots C6 and D6 (PL:C6D6),Parking Lot F5 (PL:F5),Parking Structure G3 (PS:G3),Parking Structure G6 (PS:G6)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.52,8.87,1.18,3.62,10.36,1.71,32.5638711,29.3687637,15.8594951,37.3308281,14.3757012,12.2481523,11.3620996,15.7734766,27.0482695
20.05,25.86,2.33,8.18,30.63,3.37,172.034266,177.430922,80.4962969,204.029078,96.5232188,67.1538359,82.6559219,99.1909141,138.994453
29.38,38.09,3.76,10.72,44.39,3.96,326.843656,402.981125,171.836859,385.044594,227.247141,134.161625,180.560297,206.834328,264.601906
37.31,43.94,4.12,12.9,51.73,7.64,437.235406,617.67625,254.765469,523.665219,331.682188,182.536469,262.350625,293.859594,359.462469
290.76,450.69,67.9,155.2,389.74,97,487.868125,721.851,300.976281,588.426938,389.542438,207.055203,307.575438,340.954281,405.995688
290.15,447.73,67.9,155.2,391.91,97,491.881594,749.460688,298.772719,596.234625,406.870906,211.117594,321.435719,354.281094,411.661813
37.64,42.8,4.63,14.38,52.42,7.83,434.622219,688.44575,257.030875,532.638938,375.436656,181.981766,296.745625,324.145031,369.841594
30.54,35.9,4.19,12.62,42.94,4.17,325.576688,540.792625,186.664516,411.208281,281.022656,137.532516,209.514844,257.335281,287.926063
19.7,23.81,3.07,7.97,28.5,3.22,166.637359,311.582594,91.9133594,234.448703,147.624047,75.6486563,97.8075859,153.007391,167.145328
7.37,10.09,1.58,3.07,10.92,1.93,13.5003057,51.8531953,12.5706416,31.8335449,16.0752197,8.63657715,11.1047686,24.3808047,24.2556621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.45,9.29,1.42,3.43,9.86,2.07,32.8756875,28.2422324,15.1614023,37.4749336,13.715625,12.3370801,10.8174092,15.5072246,27.5704355
23.09,33.91,4.82,11.83,37.03,6.99,189.108266,185.539438,85.8472813,224.887172,101.357766,73.1960781,87.5245,106.004242,152.445906
27.08,35.32,3.54,10.03,41.09,3.79,337.994719,412.695438,176.989625,397.124094,232.99225,138.505219,185.241891,212.326016,272.988375
43.81,61.09,7.7,19.9,68.39,12.98,439.612813,621.806375,255.976672,527.909813,333.932813,184.051875,263.134063,295.303313,361.861719
252.7,384.82,60.49,139.1,374.87,91.69,493.07425,725.882375,304.010781,591.590813,390.92325,209.202266,310.57675,342.852844,410.011281
137.15,205.81,32.32,74.38,212.76,48.66,489.562844,749.040938,299.552563,593.915188,405.865219,210.213813,320.588844,352.65825,408.787781
41.09,53.98,6.96,23.41,62.73,11.34,433.424313,685.248688,256.888188,529.820375,373.267875,180.692703,296.193969,322.418188,368.211906
40.05,58.76,8.54,20.66,63.73,12.39,303.896844,506.500906,175.373,383.747625,265.904563,129.465922,198.095297,239.942063,268.069
20.95,28.51,4,9.92,32.29,5.22,173.399031,322.809938,96.3198516,242.232453,153.850016,79.2315547,103.78132,157.817969,172.220094
7.53,10.75,1.65,3.8,11.59,2.4,21.5632363,75.8270547,19.0076309,47.1679297,25.009916,13.1214355,17.8667598,35.5917109,35.7966992
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
